route,routes_trained_on,intercept,hour,temp,precip,snow,windspeed,fenway_event,garden_event,r_squared,mse,rmse
"('70001', '70003')",9994,80.76146261376469,-0.4404567502048508,-0.8810118747027256,0.1270024334473831,0.16926441474187814,0.3993381439241339,0.0947061076275807,0.053733487883399045,0.02262910993572731,66.33895403234587,8.144872867782889
"('70001', '70005')",9980,212.9595669593534,-1.2928986648412426,-1.774343527201521,-0.2553625170855084,0.1559613723281946,1.339722060559965,-0.11801991441871201,-0.29388824811339376,0.023022467601163776,332.84818174657863,18.24412732214338
"('70001', '70007')",9974,384.82651539174583,-3.8503141328679362,-1.664617321560025,-1.01930882231261,0.2043167528778949,4.227084763975665,-0.7437158866585432,0.5687378584655972,-0.0026256442016747705,3200.6554855950835,56.57433592712409
"('70001', '70009')",9641,491.88098221142997,-4.523370775654427,-1.933593798885119,0.2278656065473063,0.4292880580843135,1.4252772004686338,-0.011387106722751228,-0.6014449778879343,0.0033214042211635597,6049.127339151342,77.77613605182081
"('70001', '70011')",9639,591.3781077630102,-5.961838809856934,-0.37500670546327874,0.1329456321976774,0.47533037636813086,1.5462455478084045,-0.21811231095338096,-0.5819459597139109,0.011292084385140733,2243.8756724654268,47.36956483297505
"('70001', '70013')",9639,688.5088730315998,-7.985280359728191,-1.0136558299439664,-0.3889220812624363,0.6315606782898976,1.1204895188117474,-0.7095236013750099,-0.090690150463831,0.008311727440210248,3953.224985394496,62.87467682139206
"('70001', '70015')",9636,821.5621796061262,-8.103335780265542,-2.2353961721545867,-0.25947901786937133,0.5564624854497385,0.4964902027464443,-1.1643564417219756,-0.010068718924525655,0.013984668628950647,8977.392712526713,94.74910401965136
"('70001', '70017')",9634,978.0250103543989,-14.925555269498705,-4.537069484261191,-2.604093088036847,-0.024633964656495422,0.42107372855052816,-4.405966680353182,3.458843374063471,0.011103315300978411,12382.76816944757,111.27788715395153
"('70001', '70019')",9623,1071.5075351194346,-14.752527527537609,-5.698480957436063,-1.4154585228840553,-0.17857884563335208,0.1629345939818207,-6.014537428708872,3.948212564739894,0.014572526777803074,17024.461965610448,130.4778217384489
"('70001', '70021')",9633,1192.4442649232383,-14.390488944889965,-19.261956761803965,-1.968317526385234,0.46071875633494785,-0.7897950507484965,-9.348702166449538,5.25478566857851,0.026055422083746782,24006.708042395006,154.9409824494314
"('70001', '70023')",9614,1345.823595435986,-39.8462927309696,-17.80638412953153,-4.37674739564333,-0.11447607441285643,-4.135425003707202,-10.319873254051961,12.288174301082247,0.05481286000066299,41116.6180126722,202.7723304908049
"('70001', '70025')",9627,1448.9718179389822,-40.33223477991101,-16.542384347442223,-5.991404449597455,-0.2654013773344721,-1.848676446958318,-11.05695531546747,11.637857223390796,0.05551410680037361,49409.69854026775,222.28292453597905
"('70001', '70027')",9627,1537.7116526704526,-40.33666443432033,-16.856149552559057,-7.0576733801455,-0.5261620945987714,-1.0339772079974903,-11.949176851419292,12.77976444873743,0.05491993010257501,52920.0050560019,230.04348514140082
"('70001', '70029')",9632,1721.9208194924895,-43.18446016232556,-15.138297709334013,-7.185952849885913,-1.2496243631982815,-0.8647151834512197,-10.7587058293049,14.012683361193524,0.04470456561741509,53465.08631832418,231.2251853028216
"('70001', '70031')",9629,2009.9926066541075,-43.25775341737163,-14.468587905667285,-4.798479699715447,-1.199014610989204,1.728407761420272,-10.605233188370825,13.94740398815765,0.04067241215531103,53508.347550146216,231.3187142237874
"('70001', '70033')",9627,2300.528184847693,-35.7240877579803,-42.543395960639025,-2.4440977337797003,2.8862744989078823,-4.637101975368296,-13.81970999691114,17.691691673150082,0.07598771452475372,66863.89267478212,258.58053421474347
"('70001', '70035')",9619,2562.1103042505197,-43.395581708987905,-40.71552024904256,0.04745213908502954,2.5232104639734416,-5.304890259604913,-11.747865673938326,19.72656033496361,0.03327929905892235,72481.29152756046,269.2234973540765
"('70001', '70036')",9618,2799.068829310271,-48.67267439114803,-26.710526600064338,-0.13385127274669806,2.4771385281092666,-7.299927216221875,-9.116761561449827,22.65371160623718,0.024506777929870216,71263.28322060635,266.95183689311136
"('70001', '70279')",9629,2163.0001439807265,-37.385719617724995,-26.55563709659777,-2.171494641960666,2.1728080777091225,-0.42582556367475544,-13.085330405093252,14.770711375004872,0.06221806389531537,86483.8922137259,294.0814380638906
"('70001', '70003')",639,81.37010834912165,0.5704305885190503,-0.7282659999893384,-0.3242099791919535,-3.3306690738754696e-16,-0.14842803918056563,0.0,0.15599262273195624,-0.043471757661234456,35.71162073227614,5.975920074120482
"('70001', '70005')",638,217.17475634365005,0.10569148070932993,-2.104987659329672,11.632153639618917,-2.6645352591003757e-15,4.0906254090183225,0.0,2.670119528002659,-0.5876349728720942,282.1564650317678,16.797513656245908
"('70001', '70007')",636,382.7412203622402,-1.2880457252214574,-1.156624359023854,10.51081429861638,0.0,3.43870625272307,0.0,2.6523105921629746,0.27933464658493656,730.238488675603,27.022925242756436
"('70001', '70009')",636,491.48137107873623,-2.0444820138036826,-0.659067574284637,10.631619532643542,2.220446049250313e-16,1.7077769522135766,0.0,3.5663562406049882,0.048766545526329974,3412.5694224261842,58.41720142583162
