,bearing,carriages,current_status,current_stop_sequence,direction_id,label,latitude,longitude,occupancy_status,revenue,speed,updated_at
1848,,[],IN_TRANSIT_TO,40.0,0.0,1848,42.239192962646484,-71.13310241699219,,REVENUE,,2024-05-23T14:25:04-04:00
y1878,219.0,[],IN_TRANSIT_TO,16.0,0.0,1878,42.30642503,-71.0668984,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
G-10253,45.0,"[{'label': '3688', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3836', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,240.0,1.0,3688-3836,42.33988,-71.12935,,REVENUE,5.2,2024-05-23T14:25:36-04:00
y1713,179.0,[],STOPPED_AT,12.0,0.0,1713,42.27671794,-71.09362303,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
y1676,45.0,[],STOPPED_AT,1.0,0.0,1676,42.338,-71.1025,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:26-04:00
y1420,352.0,[],STOPPED_AT,6.0,0.0,1420,42.36487024,-71.05839344,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:31-04:00
y3159,0.0,[],STOPPED_AT,12.0,0.0,3159,42.3760132,-71.15784328,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:12-04:00
y1982,0.0,[],STOPPED_AT,1.0,1.0,1982,42.41771,-71.10586,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:19-04:00
G-10015,325.0,"[{'label': '3645', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}, {'label': '3809', 'occupancy_percentage': None, 'occupancy_status': 'NO_DATA_AVAILABLE'}]",INCOMING_AT,680.0,1.0,3645-3809,42.38575,-71.09276,,REVENUE,17.8,2024-05-23T14:25:35-04:00
y2094,0.0,[],IN_TRANSIT_TO,17.0,1.0,2094,42.41182054,-71.05115882,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:36-04:00
y2040,0.0,[],STOPPED_AT,17.0,1.0,2040,42.37265112,-71.12163782,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:19-04:00
y1948,113.0,[],STOPPED_AT,17.0,1.0,1948,42.38613751,-71.07831106,MANY_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:35-04:00
y1290,189.0,[],STOPPED_AT,1.0,0.0,1290,42.34785466,-71.06430826,FEW_SEATS_AVAILABLE,REVENUE,,2024-05-23T14:25:37-04:00
