,color,description,direction_destinations,direction_names,fare_class,long_name,short_name,sort_order,text_color,type
Red,DA291C,Rapid Transit,"['Ashmont/Braintree', 'Alewife']","['South', 'North']",Rapid Transit,Red Line,,10010,FFFFFF,1
Mattapan,DA291C,Rapid Transit,"['Mattapan', 'Ashmont']","['Outbound', 'Inbound']",Rapid Transit,Mattapan Trolley,,10011,FFFFFF,0
Orange,ED8B00,Rapid Transit,"['Forest Hills', 'Oak Grove']","['South', 'North']",Rapid Transit,Orange Line,,10020,FFFFFF,1
Green-B,00843D,Rapid Transit,"['Boston College', 'Government Center']","['West', 'East']",Rapid Transit,Green Line B,B,10032,FFFFFF,0
Green-C,00843D,Rapid Transit,"['Cleveland Circle', 'Government Center']","['West', 'East']",Rapid Transit,Green Line C,C,10033,FFFFFF,0
Green-D,00843D,Rapid Transit,"['Riverside', 'Union Square']","['West', 'East']",Rapid Transit,Green Line D,D,10034,FFFFFF,0
Green-E,00843D,Rapid Transit,"['Heath Street', 'Medford/Tufts']","['West', 'East']",Rapid Transit,Green Line E,E,10035,FFFFFF,0
Blue,003DA5,Rapid Transit,"['Bowdoin', 'Wonderland']","['West', 'East']",Rapid Transit,Blue Line,,10040,FFFFFF,1
741,7C878E,Key Bus,"['Logan Airport Terminals', 'South Station']","['Outbound', 'Inbound']",Rapid Transit,Logan Airport Terminals - South Station,SL1,10051,FFFFFF,3
742,7C878E,Key Bus,"['Drydock Avenue', 'South Station']","['Outbound', 'Inbound']",Rapid Transit,Drydock Avenue - South Station,SL2,10052,FFFFFF,3
743,7C878E,Key Bus,"['Chelsea Station', 'South Station']","['Outbound', 'Inbound']",Rapid Transit,Chelsea Station - South Station,SL3,10053,FFFFFF,3
751,7C878E,Key Bus,"['Nubian Station', 'South Station']","['Outbound', 'Inbound']",Local Bus,Nubian Station - South Station,SL4,10055,FFFFFF,3
749,7C878E,Key Bus,"['Nubian Station', 'Temple Place']","['Outbound', 'Inbound']",Local Bus,Nubian Station - Temple Place,SL5,10056,FFFFFF,3
746,7C878E,Key Bus,"['Silver Line Way', 'South Station']","['Outbound', 'Inbound']",Rapid Transit,Silver Line Way - South Station,SLW,10057,FFFFFF,3
CR-Fairmount,80276C,Commuter Rail,"['Fairmount', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Fairmount Line,,20001,FFFFFF,2
CR-Fitchburg,80276C,Commuter Rail,"['Wachusett', 'North Station']","['Outbound', 'Inbound']",Commuter Rail,Fitchburg Line,,20002,FFFFFF,2
CR-Worcester,80276C,Commuter Rail,"['Worcester', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Framingham/Worcester Line,,20003,FFFFFF,2
CR-Franklin,80276C,Commuter Rail,"['Forge Park/495 or Foxboro', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Franklin/Foxboro Line,,20004,FFFFFF,2
CR-Greenbush,80276C,Commuter Rail,"['Greenbush', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Greenbush Line,,20005,FFFFFF,2
CR-Haverhill,80276C,Commuter Rail,"['Haverhill', 'North Station']","['Outbound', 'Inbound']",Commuter Rail,Haverhill Line,,20006,FFFFFF,2
CR-Kingston,80276C,Commuter Rail,"['Kingston', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Kingston Line,,20007,FFFFFF,2
CR-Lowell,80276C,Commuter Rail,"['Lowell', 'North Station']","['Outbound', 'Inbound']",Commuter Rail,Lowell Line,,20008,FFFFFF,2
CR-Middleborough,80276C,Commuter Rail,"['Middleborough/Lakeville', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Middleborough/Lakeville Line,,20009,FFFFFF,2
CR-Needham,80276C,Commuter Rail,"['Needham Heights', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Needham Line,,20010,FFFFFF,2
CR-Newburyport,80276C,Commuter Rail,"['Newburyport or Rockport', 'North Station']","['Outbound', 'Inbound']",Commuter Rail,Newburyport/Rockport Line,,20011,FFFFFF,2
CR-Providence,80276C,Commuter Rail,"['Stoughton or Wickford Junction', 'South Station']","['Outbound', 'Inbound']",Commuter Rail,Providence/Stoughton Line,,20012,FFFFFF,2
CR-Foxboro,80276C,Commuter Rail,"['Foxboro or Providence', 'South Station or Foxboro']","['Outbound', 'Inbound']",Special,Foxboro Event Service,,20013,FFFFFF,2
Boat-F4,008EAA,Ferry,"['Charlestown', 'Long Wharf']","['Outbound', 'Inbound']",Ferry,Charlestown Ferry,,30001,FFFFFF,4
Boat-F1,008EAA,Ferry,"['Hingham or Hull', 'Long Wharf or Rowes Wharf']","['Outbound', 'Inbound']",Ferry,Hingham/Hull Ferry,,30002,FFFFFF,4
Boat-EastBoston,008EAA,Ferry,"['Lewis Mall Wharf', 'Long Wharf']","['Outbound', 'Inbound']",Ferry,East Boston Ferry,,30005,FFFFFF,4
Boat-Lynn,008EAA,Ferry,"['Blossom Street Pier', 'Long Wharf']","['Outbound', 'Inbound']",Ferry,Lynn Ferry,,30007,FFFFFF,4
Boat-F6,008EAA,Ferry,"['Winthrop', 'Central Wharf']","['Outbound', 'Inbound']",Ferry,Winthrop/Quincy Ferry,,30009,FFFFFF,4
747,FFC72C,Local Bus,"['Sullivan Square Station', 'Ruggles Station']","['Outbound', 'Inbound']",Local Bus,Sullivan Square Station - Ruggles Station,CT2,40020,0,3
708,FFC72C,Local Bus,"['Beth Israel Deaconess Hospital', 'Andrew Station']","['Outbound', 'Inbound']",Local Bus,Beth Israel Deaconess Hospital - Andrew Station,CT3,40030,0,3
1,FFC72C,Key Bus,"['Harvard Square', 'Nubian Station']","['Outbound', 'Inbound']",Local Bus,Harvard Square - Nubian Station,1,50010,0,3
4,FFC72C,Commuter Bus,"['North Station', 'Tide Street']","['Outbound', 'Inbound']",Local Bus,North Station - Tide Street,4,50040,0,3
7,FFC72C,Local Bus,"['City Point', 'Otis Street & Summer Street']","['Outbound', 'Inbound']",Local Bus,City Point - Otis Street & Summer Street,7,50070,0,3
8,FFC72C,Local Bus,"['Harbor Point', 'Kenmore Station']","['Outbound', 'Inbound']",Local Bus,Harbor Point - Kenmore Station,8,50080,0,3
9,FFC72C,Local Bus,"['City Point', 'Copley Square']","['Outbound', 'Inbound']",Local Bus,City Point - Copley Square,9,50090,0,3
10,FFC72C,Local Bus,"['City Point', 'Copley Square']","['Outbound', 'Inbound']",Local Bus,City Point - Copley Square,10,50100,0,3
11,FFC72C,Local Bus,"['City Point', 'Chauncy Street & Summer Street']","['Outbound', 'Inbound']",Local Bus,City Point - Chauncy Street & Summer Street,11,50110,0,3
14,FFC72C,Local Bus,"['Roslindale Square', 'Heath Street']","['Outbound', 'Inbound']",Local Bus,Roslindale Square - Heath Street,14,50140,0,3
15,FFC72C,Key Bus,"['Fields Corner Station or Kane Square', 'Ruggles Station']","['Outbound', 'Inbound']",Local Bus,Fields Corner Station or Kane Square - Ruggles Station,15,50150,0,3
16,FFC72C,Local Bus,"['Forest Hills Station', 'Andrew Station or Harbor Point']","['Outbound', 'Inbound']",Local Bus,Forest Hills Station - Andrew Station or Harbor Point,16,50160,0,3
17,FFC72C,Local Bus,"['Fields Corner Station', 'Andrew Station']","['Outbound', 'Inbound']",Local Bus,Fields Corner Station - Andrew Station,17,50170,0,3
18,FFC72C,Local Bus,"['Ashmont Station', 'Andrew Station']","['Outbound', 'Inbound']",Local Bus,Ashmont Station - Andrew Station,18,50180,0,3
19,FFC72C,Local Bus,"['Fields Corner Station', 'Kenmore or Ruggles Station']","['Outbound', 'Inbound']",Local Bus,Fields Corner Station - Kenmore or Ruggles Station,19,50190,0,3
21,FFC72C,Local Bus,"['Ashmont Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Ashmont Station - Forest Hills Station,21,50210,0,3
22,FFC72C,Key Bus,"['Ashmont Station', 'Ruggles Station']","['Outbound', 'Inbound']",Local Bus,Ashmont Station - Ruggles Station via Talbot Ave,22,50220,0,3
23,FFC72C,Key Bus,"['Ashmont Station', 'Ruggles Station']","['Outbound', 'Inbound']",Free,Ashmont Station - Ruggles Station via Washington Street,23,50230,0,3
24,FFC72C,Local Bus,"['Wakefield Avenue & Truman Parkway', 'Ashmont Station']","['Outbound', 'Inbound']",Local Bus,Wakefield Avenue & Truman Parkway - Ashmont Station,24,50240,0,3
26,FFC72C,Local Bus,"['Ashmont Station', 'Norfolk Street Loop']","['Outbound', 'Inbound']",Local Bus,Ashmont Station - Norfolk Street Loop,26,50260,0,3
28,FFC72C,Key Bus,"['Mattapan Station', 'Ruggles Station']","['Outbound', 'Inbound']",Free,Mattapan Station - Ruggles Station,28,50280,0,3
29,FFC72C,Local Bus,"['Mattapan Station', 'Jackson Square Station']","['Outbound', 'Inbound']",Free,Mattapan Station - Jackson Square Station,29,50290,0,3
30,FFC72C,Local Bus,"['Mattapan Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Mattapan Station - Forest Hills Station via Cummins Highway and Roslindale Square,30,50300,0,3
31,FFC72C,Local Bus,"['Mattapan Station', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Mattapan Station - Forest Hills Station via Morton Street,31,50310,0,3
32,FFC72C,Key Bus,"['Wolcott or Cleary Square', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Wolcott or Cleary Square - Forest Hills Station,32,50320,0,3
33,FFC72C,Local Bus,"['River Street & Milton Street', 'Mattapan Station']","['Outbound', 'Inbound']",Local Bus,River Street & Milton Street - Mattapan Station,33,50330,0,3
34,FFC72C,Local Bus,"['Dedham Square', 'Forest Hills Station']","['Outbound', 'Inbound']",Local Bus,Dedham Square - Forest Hills Station,34,50340,0,3
