,address,at_street,description,latitude,location_type,longitude,municipality,name,on_street,platform_code,platform_name,vehicle_type,wheelchair_boarding
24486,,,,42.365535,0,-71.09133,Cambridge,Broadway @ Hampshire St,Broadway,,,3.0,1
8556,,Dedham Street,,42.29468,0,-71.178978,Newton,Spiers Rd @ Dedham St,Spiers Road,,,3.0,1
door-pktrm-exitashbrain,,,Park Street - Escalator to Tremont St (South),42.355976,2,-71.062427,Boston,Park Street - Escalator to Tremont St (South),,,,,2
3124,,,,42.273004,0,-71.031092,Quincy,W Squantum St @ Farrington St,West Squantum Street,,,3.0,1
node-dwnxg-112fare-paid,,,Downtown Crossing - Paid side of exit-only gate,,3,,Boston,Downtown Crossing,,,,,1
32004,,,Quincy Center - Berth 4,42.251908,0,-71.0052,Quincy,Quincy Center,Busway,,Berth 4,3.0,1
1616,,Crown Point Drive,,42.257411,0,-71.146391,Boston,Margaretta Dr @ Crown Point Dr,Margaretta Drive,,,3.0,1
node-sstat-north-farepaid,,,South Station - Paid side of fare gates,,3,,Boston,South Station,,,,,1
4554,,Powder House Lane,,42.514019,0,-70.906524,Salem,Opp 30 Highland Ave,Highland Avenue,,,3.0,0
38481,,Trescott Street,,42.238055,0,-71.002967,Quincy,Franklin St opp Trescott St,Franklin Street,,,3.0,1
2406,,Dearborn Road,,42.4052,0,-71.117309,Somerville,College Ave @ Dearborn Rd,College Avenue,,,3.0,1
2128,,Poplar Street,,42.381743,0,-71.178011,Belmont,Trapelo Rd opp Poplar St,Trapelo Road,,,3.0,1
1268,,,,42.348224,0,-71.149882,Boston,Washington St @ Shepard St,Washington Street,,,3.0,1
6230,,Jasper Street,,42.462849,0,-71.009496,Saugus,Central St @ Jasper St,Central Street,,,3.0,1
node-149-lobby,,,Tufts Medical Center - Top of Escalator 149,,3,,Boston,Tufts Medical Center,,,,,1
5250,,Ardale Street,,42.29326,0,-71.13749,Boston,1437 Centre St opp Ardale St,Centre Street,,,3.0,1
171,,Columbus Avenue,,42.348569,0,-71.071717,Boston,Berkeley St @ Columbus Ave,Berkeley Street,,,3.0,1
16132,,Burrill Street,,42.475691,0,-70.922283,Swampscott,Essex St opp Burrill St,Essex Street,,,3.0,1
1475,,Cameron Street,,42.311233,0,-71.062553,Boston,Hancock St @ Bowdoin St,Hancock Street,,,3.0,1
5460,,Salem Place,,42.430118,0,-71.059667,Malden,Salem St @ Salem Pl,Salem Street,,,3.0,1
6739,,Hayes Street,,42.470654,0,-70.991878,Lynn,Garfield Ave @ Hayes St,Garfield Avenue,,,3.0,1
84791,,Walsh Road,,42.289995,0,-71.191092,Newton,Sawmill Brook Pkwy @ Walsh Rd,Sawmill Brook Parkway,,,3.0,1
4376,,Huntington Road,,42.256122,0,-71.046067,Milton,Edge Hill Rd @ Huntington Rd,Edgehill Road,,,3.0,1
7774,,Brookway Road,,42.404137,0,-71.234024,Waltham,Lexington St @ Brookway Rd,Lexington Street,,,3.0,1
14822,,Alden Road,,42.469623,0,-70.896067,Swampscott,Humphrey St @ Alden Rd,Humphrey Street,,,3.0,1
node-rcmnl-134-platform,,,Roxbury Crossing - Bottom of Escalator 134,42.331132,3,-71.095658,Boston,Roxbury Crossing,,,,,1
place-kntst,"Beacon St and Powell St, Brookline, MA",,,42.344074,1,-71.114197,Brookline,Kent Street,,,,,2
